strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Thailand/NIH-59/2020	EPI_ISL_434693		Bamrasnaradura hospital	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Hangzhou/HZ-1/2020	EPI_ISL_406970	MT039873.1	Hangzhou Center for Disease and Control Microbiology Lab	Hangzhou Center for Disease and Control Microbiology Lab	Yu Hua et al (https://dx.doi.org/10.1101/2020.03.10.20033944)
Thailand/SI200433-NT/2020	EPI_ISL_437621	MT447157.1		Faculty of Medicine	Rodpan et al
Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	MT192759.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
Shanghai/SH0110/2020	EPI_ISL_416399		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Finland/1/2020	EPI_ISL_407079	MT020781.1	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A
Indonesia/JK-EIJK47/2020	EPI_ISL_574616		RS Kramat 128	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK31/2020	EPI_ISL_766043		RS Pelni	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/NT-EIJK26/2020	EPI_ISL_766048		RS Bhayangkara Tk. III	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK-01/2020	EPI_ISL_437189		Pusat Pertamina Hospital	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Shanghai/CH-02/2020	EPI_ISL_469253	MT627325.1	Second Military Medical University, Department of Microbiology	Second Military Medical University, Department of Microbiology	Peng et al
HongKong/HKU-911a/2020	EPI_ISL_450409	MT365029.1		Microbiology	To et al
NewZealand/20VR0761/2020	EPI_ISL_456166		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1115/2020	EPI_ISL_456193	MZ331917.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
HongKong/CUHK-NC1999/2020	EPI_ISL_3066001		Department of Microbiology	Department of Microbiology	Zigui Chen et al
England/BRIS-12671D/2020	EPI_ISL_459027		PHE South West Regional Laboratory, National Infection Service	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Stephanie Hutchings et al A
Scotland/GCVR-16FF2F/2020	EPI_ISL_489659		NHSGGC West of Scotland Specialist Virology Centre / MRC-University of Glasgow Centre for Virus Research	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Ana da Silva Filipe et al
Iceland/963/2020	EPI_ISL_1586832	OU183889.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A
Norway/1378/2020	EPI_ISL_2549107		Oslo University Hospital, Department of Medical Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Australia/SA0301/2020	EPI_ISL_467986		SA Pathology	SA Pathology	Lex Leong et al
Bulgaria/15/2020	EPI_ISL_480298		National Reference Laboratory "Influenza and acute respiratory diseases"	NRL-HIV	Ivan Ivanov et al
Australia/QLD1314/2020	EPI_ISL_849671		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Australia/VIC667/2020	EPI_ISL_426963		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/SA0377/2020	EPI_ISL_492142		SA Pathology	SA Pathology	Lex Leong et al
Germany/NW-UKB-14971/2020	EPI_ISL_983514		Institute of Virology, University Hospital, University of Bonn and German Center for Infection Research (DZIF), Bonn-Cologne, Bonn, Germany	Institute of Virology, University Hospital, University of Bonn and German Center for Infection Research (DZIF), Bonn-Cologne, Bonn, Germany	Marek Korencak et al
Australia/WA455/2020	EPI_ISL_708749		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Australia/WA445/2020	EPI_ISL_708739		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Australia/SA0268/2020	EPI_ISL_468043		SA Pathology	SA Pathology	Lex Leong et al
HongKong/CUHK-NC2253/2020	EPI_ISL_3066019		Department of Microbiology	Department of Microbiology	Zigui Chen et al
NewZealand/20CV0271/2020	EPI_ISL_579065		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20VR0759/2020	EPI_ISL_456164		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1020/2020	EPI_ISL_456185	MZ331908.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1022/2020	EPI_ISL_456186	MZ331909.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1019/2020	EPI_ISL_456184	MZ331907.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1499/2020	EPI_ISL_456221	MZ331947.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR3156/2020	EPI_ISL_579446	MZ332439.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Indonesia/SA-EIJK13/2020	EPI_ISL_574604		RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Ecuador/HEE-01/2020	EPI_ISL_417482		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
Netherlands/Tilburg_1363354/2020	EPI_ISL_413586		Foundation Elisabeth-Tweesteden Ziekenhuis	Erasmus Medical Center	David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)
Netherlands/NA_666/2020	EPI_ISL_461101		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
Netherlands/NoordBrabant_116/2020	EPI_ISL_461151		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
Curacao/CW-RIVM-10100/2020	EPI_ISL_547453		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
NewZealand/CoV001/2020	EPI_ISL_417211		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
NewZealand/20VR0995/2020	EPI_ISL_456178	MZ331899.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
USA/WI-UW-315/2020	EPI_ISL_436609	MT706423.1	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
USA/NV-NSPHL-A0014/2020	EPI_ISL_515301		Nevada State Public Health Laboratory	Nevada State Public Health Laboratory	Richard Tillett et al
Mexico/JAL-InDRE-16/2020	EPI_ISL_455454		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Mendieta-Condado Edgar et al
Mexico/JAL-InDRE-11/2020	EPI_ISL_455435		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Garces-Ayala Fabiola. Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al
USA/OH-ODH-SC0021842/2020	EPI_ISL_2597980		Ohio Department of Health Laboratory	Ohio Department of Health Laboratory	Holmes et al
Curacao/CW-RIVM-10309/2020	EPI_ISL_636493		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10308/2020	EPI_ISL_636492		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10093/2020	EPI_ISL_547451		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10092/2020	EPI_ISL_547450		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10094/2020	EPI_ISL_547452		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Singapore/35/2020	EPI_ISL_422428		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Taiwan/TSGH-35/2020	EPI_ISL_457726		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
England/200690245/2020	EPI_ISL_414041		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
Australia/VIC129/2020	EPI_ISL_419732		Microbiological Diagnostic Unit Public Health Laboratory	Microbiological Diagnostic Unit Public Health Laboratory	Seemann T. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Pakistan/KHI1/2020	EPI_ISL_451958	MT500122.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel et al
Indonesia/JB-EIJK41/2020	EPI_ISL_574612		RS Hermina Mekarsari	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/KI-NIHRDC004160/2020	EPI_ISL_984277		National Institute of Health Research and Development	National Institute of Health Research and Development	Kindi Adam et al
Australia/NSW10/2020	EPI_ISL_413596		Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NSW08/2020	EPI_ISL_413594		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NSW219/2020	EPI_ISL_427643		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Timms V et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NT43/2020	EPI_ISL_480691		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
HongKong/HKPU-00076/2020	EPI_ISL_2710828		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
Indonesia/SA-EIJK-06/2020	EPI_ISL_467375		RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Indonesia/BT-EIJK36/2020	EPI_ISL_574611		RS Premier Bintaro	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Iceland/141/2020	EPI_ISL_417792	OU161609.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)
Indonesia/SA-EIJK-12/2020	EPI_ISL_568694		RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
HongKong/CUHK-NC9087/2020	EPI_ISL_3066305		Department of Microbiology	Department of Microbiology	Zigui Chen et al
Iceland/755/2020	EPI_ISL_1586617	OU183108.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A
Japan/PG-0179/2020	EPI_ISL_479887		Tokyo Metropolitan Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Kazakhstan/122252/2020	EPI_ISL_1341149		Laboratory of Virology, National center of expertise	RSE "National Center of Expertise" and RSE "National center for Biotechnology"	Abdaliyev Askar et al
Indonesia/JK-EIJK-02/2020	EPI_ISL_437190		RS Pondok Indah Hospital – Pondok Indah	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Wuhan/HB-WH5-221/2020	EPI_ISL_454966		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
USA/WV-QDX-1284/2020	EPI_ISL_572053	MW065351.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
Singapore/394/2020	EPI_ISL_469143		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
NewZealand/20CV0291/2020	EPI_ISL_579081		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Malaysia/8454/2020	EPI_ISL_501223		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
SouthKorea/KCDC12-NCCP43330/2020	EPI_ISL_812960	MW466795.1	Division of Pathogen Resource Management, Korea National Institute of Health, Korea Disease Control and Prevention Agency	Division of Pathogen Resource Management, Korea National Institute of Health, Korea Disease Control and Prevention Agency	Kim et al
Indonesia/JI-ITD-3101NT/2020	EPI_ISL_458083		Adi Husada Undaan Hospital	Institute of Tropical Disease, Universitas Airlangga	Rima R Prasetya et al
Malaysia/UNIMAS-C121/2020	EPI_ISL_718135		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Argentina/PAIS-C0023/2020	EPI_ISL_792424		Laboratorio de Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	König et al
Bangladesh/NIB-BCSIR-02/2020	EPI_ISL_458133	MT568643.1	National Institute of Biotechnology	Bioinformatics Division, National Institute of Biotechnology	Mohammad Uzzal Hossain et al
Senegal/SN-MBO-201778/2021	EPI_ISL_1167153		Iressef Genomics lab	L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)	Souleymane MBOUP et al
India/WB-IICB-021/2020	EPI_ISL_581495		CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata	CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata	Sujay Krishna Maity et al
Armenia/IMB3-1/2021	EPI_ISL_1718294		National Center of Disease Control and Prevention of the Republic of Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Zaven Karalyan et al
USA/PA-MGEL-00797/2020	EPI_ISL_853310		UPMC Clinical Microbiology Laboratory	Microbial Genome Sequencing Center; Microbial Genomic Epidemiology Laboratory	Mustapha M. Mustapha et al
Australia/VIC15/2020	EPI_ISL_419735		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al B
France/IDF-0515/2020	EPI_ISL_408430		Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
France/IDF_HB_112001106076/2020	EPI_ISL_940552		Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al
Australia/WA34/2020	EPI_ISL_470851		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Australia/NT02/2020	EPI_ISL_419832		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
Australia/WA11/2020	EPI_ISL_420456		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Pakistan/Gilgit1/2020	EPI_ISL_417444	MT240479.1	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Javed et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
Thailand/Bangkok-CONI-0110/2020	EPI_ISL_455913		Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al
Iran/Tehran-09/2020	EPI_ISL_862077		National Influenza Center, Virology Department	National Influenza Center	J Yavarian et al
Australia/SA0113/2020	EPI_ISL_483067		SA Pathology	SA Pathology	Lex Leong et al
Australia/ACT0014/2020	EPI_ISL_498481		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Iran/PN2179/2020	EPI_ISL_463749		Pasteur Institute of Iran	Rapid Response Team	Mahboobeh Rafigh et al
Iran/7650/2020	EPI_ISL_594188		Department of Pathology, School of Medicine, Imam Khomeini Hospital, Tehran University of Medical Sciences	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
SriLanka/COV38/2020	EPI_ISL_428670	MT371047.1	Centre for Dengue Research	Centre for Dengue Research	Chandima Jeewandara et al A (https://dx.doi.org/10.21203/rs.3.rs-44134/v1)
SriLanka/CDR142/2020	EPI_ISL_525474		Centre for Dengue Research	Centre for Dengue Research, USJ, SL	Chandima Jeewandara et al B
Taiwan/TSGH-26/2020	EPI_ISL_447252		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Taiwan/CGMH-CGU-07/2020	EPI_ISL_417520	MT374103.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
Taiwan/CGMH-CGU-08/2020	EPI_ISL_417521	MT374104.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
Kuwait/KU17/2020	EPI_ISL_416542		Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla et al
Sweden/20-04631/2020	EPI_ISL_430847		HS mikrobiologi virus	The Public Health Agency of Sweden	Zhibing Yun et al
Sweden/20-04852/2020	EPI_ISL_475547		Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
