strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Malaysia/UNIMAS-M3482/2020	EPI_ISL_718166		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Oman/RESP-20-B-6588/2020	EPI_ISL_525429		Oman-National Influenza Center	Biotechnology & OMICs Laboratory	Samira Al-Mahruqi et al
Australia/SA0305/2020	EPI_ISL_468037		SA Pathology	SA Pathology	Lex Leong et al
Australia/VPRL014/2020	EPI_ISL_455603		SA Pathology	VPRL	Beard et al
Australia/SA0214/2020	EPI_ISL_468032		SA Pathology	SA Pathology	Lex Leong et al
Wuhan/IME-WH04/2019	EPI_ISL_529216	MT291829.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
Wuhan/IME-WH02/2019	EPI_ISL_529214	MT291827.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
Wuhan/IPBCAMS-WH-04/2019	EPI_ISL_403929	MT019532.1	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
Wuhan/WIV04/2019	EPI_ISL_402124	MN996528.1	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al A (https://dx.doi.org/10.1099/acmi.0.000133)
Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
HongKong/HKPU42-0302/2020	EPI_ISL_419217	MT232684.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU102_2802/2020	EPI_ISL_420455	MT232711.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU35_0402/2020	EPI_ISL_417199	MT232678.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Chong-Yee YAU et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU84-2502/2020	EPI_ISL_419248	MT232705.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKU-200723-089/2020	EPI_ISL_497856		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKU-200723-002/2020	EPI_ISL_497769		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
Oman/RESP-20-4028/2020	EPI_ISL_457987		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
Sichuan/SC-WCH-311/2020	EPI_ISL_451381		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Singapore/186/2020	EPI_ISL_462304		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Thailand/SI201712-NT/2020	EPI_ISL_437617	MT447161.1		Faculty of Medicine	Rodpan et al
Australia/VIC03/2020	EPI_ISL_416411		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW03/2020	EPI_ISL_408977		Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
Thailand/SI200893-NT/2020	EPI_ISL_437624	MT447154.1		Faculty of Medicine	Rodpan et al
Thailand/SI200478-NST/2020	EPI_ISL_437619	MT447159.1		Faculty of Medicine	Rodpan et al
Taiwan/TSGH-01/2020	EPI_ISL_426629		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Italy/LAZ-INMI2-N/2020	EPI_ISL_451302	MT509662.1	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Cesare E.M. Gruber et al (https://dx.doi.org/10.1002/jmv.25699)
Italy/LAZ-INMI1-cs/2020	EPI_ISL_410546		INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Maria R. Capobianchi et al (https://dx.doi.org/10.1002/jmv.25699)
Italy/VEN-SR-42-B/2020	EPI_ISL_1064112		Microbiology and Virology Unit, Azienda Ospedale Padova, Padova, Italy	Department of Molecular Medicine, Computational Medicine Group, Univeresity of Padova, Padova, Italy	Elisa Franchin et al
Poland/PL_P39/2020	EPI_ISL_455452		1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).	Katarzyna Pancer et al
Taiwan/TSGH-36/2020	EPI_ISL_457730		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Georgia/Tb-54/2020	EPI_ISL_415641		R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/Tb-468/2020	EPI_ISL_415643		R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
SouthKorea/KCDC2045/2020	EPI_ISL_471451		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al A
SouthKorea/KCDC2110/2020	EPI_ISL_498011		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al A
SouthKorea/KCDC2116/2020	EPI_ISL_498017		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al A
Bahrain/BAH-20/2020	EPI_ISL_483561		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
NewZealand/CoV002/2020	EPI_ISL_417212		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
NewZealand/20VR0462/2020	EPI_ISL_456159	MZ331880.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/ACT0069/2020	EPI_ISL_498530		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Uganda/UG052/2020	EPI_ISL_737969		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
Australia/VIC1466/2020	EPI_ISL_456449	MT612142.1	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Caly L. et al B
NewZealand/20VR1109/2020	EPI_ISL_456190	MZ331913.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1623/2020	EPI_ISL_456233	MZ331959.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1910/2020	EPI_ISL_456305	MZ332069.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1829/2020	EPI_ISL_456274	MZ332019.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR2066/2020	EPI_ISL_456357	MZ332176.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR3208/2020	EPI_ISL_579493	MZ332486.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Uruguay/UY-10/2020	EPI_ISL_429257		Microbial Genomics Laboratory, Institut Pasteur Montevideo	Microbial Genomics Laboratory, Institut Pasteur Montevideo	Cecilia Salazar et al A (https://dx.doi.org/10.1101/2020.05.09.086223)
NewZealand/20VR3136/2020	EPI_ISL_579428	MZ332421.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20VR1449/2020	EPI_ISL_456216	MZ331942.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1765/2020	EPI_ISL_536789	MZ331969.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20VR1076/2020	EPI_ISL_456187	MZ331910.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
SouthKorea/KCDC2037/2020	EPI_ISL_497958		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al A
Qatar/QA-QU_02-2-44/2020	EPI_ISL_1712699		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
Qatar/QA-WCMQ_FD15540717/2020	EPI_ISL_1714064		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-WCMQ_FD17059336/2020	EPI_ISL_1714185		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-WCMQ_FD18163121/2020	EPI_ISL_1714391		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-WCMQ_FD18163147/2020	EPI_ISL_1714416		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Australia/QLD1388/2020	EPI_ISL_849705		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Australia/ACT0017/2020	EPI_ISL_498484		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Australia/TAS103/2020	EPI_ISL_522569		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
Malaysia/3605/2020	EPI_ISL_501206		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
Australia/SA0434/2020	EPI_ISL_508125		SA Pathology	SA Pathology	Lex Leong et al
Jordan/SR-0338/2020	EPI_ISL_450189		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
NewZealand/20VR0901/2020	EPI_ISL_456169	MZ331891.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/NSW584/2020	EPI_ISL_478696		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
SouthAfrica/NHLS-UCT-LA-9007/2020	EPI_ISL_640073			NHLS/UCT	Arash Iranzadeh et al
England/20129015004/2020	EPI_ISL_423996		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
NewZealand/20VR1283/2020	EPI_ISL_456208		LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Brazil/ES-FIOCRUZ-225/2020	EPI_ISL_415128		Laboratório Central de Saúde Pública do Estado do Espírito Santo (LACEN-ES)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al A (https://dx.doi.org/10.1101/2020.06.17.158006)
NewZealand/20VR0988/2020	EPI_ISL_456173		LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
England/LOND-D6C3C/2020	EPI_ISL_478415		University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	COVID-19 Genomics UK (COG-UK) Consortium	Sergi Castellano et al
Mongolia/3631/2020	EPI_ISL_1805651		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Ts et al
USA/AR-QDX-679/2020	EPI_ISL_571408	MW064706.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
Aruba/AW-RIVM-10122/2020	EPI_ISL_547449		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-10101/2020	EPI_ISL_547445		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Australia/NT14/2020	EPI_ISL_426902		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Meumann et al
Nigeria/OS016-CV3/2020	EPI_ISL_455413		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
Ghana/2230_S4/2020	EPI_ISL_422390		NMIMR, Department of Virology	WACCBIP, University of Ghana	Joyce M. Ngoi et al
Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
Wuhan/HB-WHCM2-279/2020	EPI_ISL_455011		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Wuhan/HB-WHCM-119/2020	EPI_ISL_455407		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Thailand/SI200040-NT/2020	EPI_ISL_437623	MT447155.1		Faculty of Medicine	Rodpan et al
Thailand/61/2020	EPI_ISL_403962		Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.8.2000097)
HongKong/HKU-902a/2020	EPI_ISL_434563	MT114412.1		Microbiology, The University of Hong Kong	To et al
Singapore/1nan/2020	EPI_ISL_482678		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
UnitedArabEmirates/L4280/2020	EPI_ISL_435134		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)
Australia/QLDID922/2020	EPI_ISL_418799		Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
Lithuania/MR-LUHS-Eilnr95/2020	EPI_ISL_541877		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr32/2020	EPI_ISL_603091		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr37/2020	EPI_ISL_541856		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology	Lukas Zemaitis et al
UnitedArabEmirates/L6599/2020	EPI_ISL_435138		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)
UnitedArabEmirates/skmc-003/2020	EPI_ISL_582625		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-2200543117/2020	EPI_ISL_582622		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-004/2020	EPI_ISL_582613		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
USA/IL1/2020	EPI_ISL_404253	MN988713.1	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Japan/OS-20-07-1/2020	EPI_ISL_410532		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Japan/NA-20-05-1/2020	EPI_ISL_410531		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	MT192759.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
Guangzhou/GZMU0051/2020	EPI_ISL_429096		The First Affiliated Hospital of Guangzhou Medical University	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	Yanqun Wang et al
Cambodia/0012/2020	EPI_ISL_411902		Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Australia/ACT0047/2020	EPI_ISL_498514		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Vietnam/HCMC-35012/2020	EPI_ISL_498187		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
NewZealand/20VR1451/2020	EPI_ISL_456218	MZ331944.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Hungary/SRC-00620/2020	EPI_ISL_435416		Virological Research Group, Szentágothai Research Centre	Bioinformatics Research Group, Szentágothai Research Centre	Péter Urbán et al
Bulgaria/15/2020	EPI_ISL_480298		National Reference Laboratory "Influenza and acute respiratory diseases"	NRL-HIV	Ivan Ivanov et al
Australia/QLD1314/2020	EPI_ISL_849671		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Australia/WA445/2020	EPI_ISL_708739		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
NewZealand/20VR2571/2020	EPI_ISL_579302	MZ332286.1	Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Germany/HH-hpi-p1853/2020	EPI_ISL_775918		University Medical Center Hamburg Eppendorf	Heinrich Pette Institute, Leibniz Institute for Experimental Virology	Alexis Robitaille et al
Wales/PHWC-2CAF1/2020	EPI_ISL_445949		Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al A (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
NewZealand/20VR2000/2020	EPI_ISL_456327	MZ332128.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR0759/2020	EPI_ISL_456164		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1020/2020	EPI_ISL_456185	MZ331908.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1022/2020	EPI_ISL_456186	MZ331909.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1499/2020	EPI_ISL_456221	MZ331947.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1019/2020	EPI_ISL_456184	MZ331907.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Finland/1/2020	EPI_ISL_407079	MT020781.1	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A
USA/CA-CDC-6/2020	EPI_ISL_410044	MT044258.1	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Jiujiang/JX490/2020	EPI_ISL_455463		Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
NewZealand/20VR0761/2020	EPI_ISL_456166		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
