strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
India/MH-1-27/2020	EPI_ISL_413522		Indian Council of Medical Research - National Institute of Virology	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Potdar V et al (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
Guangzhou/GZMU0092/2020	EPI_ISL_457694		The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	Yanqun Wang et al
Guangzhou/GZMU0117/2020	EPI_ISL_457698		The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	Yanqun Wang et al
Australia/VIC14/2020	EPI_ISL_419734		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
USA/WI1/2020	EPI_ISL_408670	MT039887.1	Wisconsin Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
USA/MA1/2020	EPI_ISL_409067	MT039888.1	Massachusetts Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al (https://dx.doi.org/10.1101/2020.03.09.20032896)
Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al (https://dx.doi.org/10.1099/acmi.0.000133)
HongKong/HKPU54-0302/2020	EPI_ISL_419226	MT232692.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Sweden/01/2020	EPI_ISL_411951	MT093571.1	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Bengner et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Sweden/20-02114/2020	EPI_ISL_476139		Folkhalsomyndigheten	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Thailand/SI200478-NST/2020	EPI_ISL_437619	MT447159.1		Faculty of Medicine	Rodpan et al
HongKong/HKPU12_2201/2020	EPI_ISL_417179	MT232665.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Australia/NSW03/2020	EPI_ISL_408977		Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/VIC03/2020	EPI_ISL_416411		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Shanghai/SH0040/2020	EPI_ISL_416349		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Ireland/LH-NVRL-20Z04047/2020	EPI_ISL_981206		National Virus Reference Laboratory	Irish Coronavirus Sequencing Consortium - Helixworks	Sachin Chalapati et al
Singapore/911/2020	EPI_ISL_536452		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/7/2020	EPI_ISL_410713		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
HongKong/HKU-200723-045/2020	EPI_ISL_497812		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKPU41-0802/2020	EPI_ISL_419216	MT232683.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKU-200723-004/2020	EPI_ISL_497771		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/VM20002507-2/2020	EPI_ISL_414528		Hong Kong Department of Health	School of Public Health, The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/HKPU-00028/2020	EPI_ISL_2710818		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
Singapore/15/2020	EPI_ISL_418996		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/967/2020	EPI_ISL_1315626		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
USA/WY-UNM-00130/2020	EPI_ISL_614253		Wyoming Public Health Laboratory	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
India/MH-1-31/2020	EPI_ISL_413523		Indian Council of Medical Research-National Institute of Virology	National Influenza Center, Indian Council of Medical Research-National Institute of Virology	Potdar V et al (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
Beijing/BJ1112/2020	EPI_ISL_430737		Chinese PLA Institute for Disease Control and Prevention	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
SouthKorea/KCDC2002/2020	EPI_ISL_425118		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC2062/2020	EPI_ISL_497963		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC06/2020	EPI_ISL_412870	MT134007.1	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC2103/2020	EPI_ISL_498004		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
Japan/PG-0218/2020	EPI_ISL_479918		Niigata City Public Health Research Institute	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Australia/NSW04/2020	EPI_ISL_417030		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
Henan/fahzu0035/2020	EPI_ISL_1040048		PCR Laboratory, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	PCR Laboratory, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	Guanglin Cui et al
Thailand/SI202205-NT/2020	EPI_ISL_437616	MT447162.1		Faculty of Medicine	Rodpan et al
UnitedArabEmirates/skmc-920168117/2020	EPI_ISL_582125		Sheikh Khalifa Medical City	Molecular Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-920569110/2020	EPI_ISL_582126		Sheikh Khalifa Medical City	Molecular Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-920568379/2020	EPI_ISL_582608		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/L5630/2020	EPI_ISL_435137		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)
Thailand/SI202620-NT/2020	EPI_ISL_437615	MT447163.1		Faculty of Medicine	Rodpan et al
Cambodia/Kunming_kms-2/2020	EPI_ISL_682298	MW341443.1	Respiratory virus Laboratory, Chinese Academy of Medical Science	Respiratory virus Laboratory, Chinese Academy of Medical Science	Li et al
Thailand/SI203285-NT/2020	EPI_ISL_437612	MT447166.1		Faculty of Medicine	Rodpan et al
Thailand/Bangkok-0040/2020	EPI_ISL_429176		Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A (https://dx.doi.org/10.1101/2020.05.22.20108498)
HongKong/CUHK-NC1699/2020	EPI_ISL_3065992		Department of Microbiology	Department of Microbiology	Zigui Chen et al
Thailand/Bangkok-0085/2020	EPI_ISL_447026		Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B
Thailand/Bangkok-CONI-0302/2020	EPI_ISL_693375		Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B
Thailand/Bangkok-CONI-0300/2020	EPI_ISL_693373		Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B
NewZealand/20VR0276/2020	EPI_ISL_416539		Wellington Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
HongKong/HKU-001a/2020	EPI_ISL_434571	MT230904.1	Microbiology, The University of Hong Kong	Microbiology, The University of Hong Kong	Chan et al
Shanghai/SH0128/2020	EPI_ISL_416409		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
SouthKorea/KCDC2012/2020	EPI_ISL_426182		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
USA/WY-WYPHL-00029/2020	EPI_ISL_462922		Wyoming Public Health Laboratory	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
USA/IL-NM064/2020	EPI_ISL_444559		Northwestern Memorial Hospital	Ozer Lab	Ramon Lorenzo-Redondo et al A (https://dx.doi.org/10.1101/2020.05.19.20107144)
USA/GA-EHC-161G/2020	EPI_ISL_754748	MW008588.1	Emory Molecular Diagnostics Laboratory, Emory Healthcare	Piantadosi Lab, Emory Department of Pathology	Ahmed Babiker et al
USA/SC-DHEC-0050/2020	EPI_ISL_491103	MT764178.1	SC Department of Health and Environmental Control	SC Department of Health and Environmental Control	Flores et al
USA/DC-DFS-PHL-0079/2020	EPI_ISL_804863	MZ488069.1	DC Public Health Lab/ Dept. of Forensic Sciences	DC Public Health Lab/ Dept. of Forensic Sciences	Scott Nguyen et al
Mexico/ZAC-InDRE-IBT-49/2020	EPI_ISL_1301519		Instituto de Diagnostico y Referencia Epidemiologicos InDRE_RNLSP	Instituto de Biotecnología de la UNAM	Authors from IBT et al
USA/GA-CDC-GA-EHC-171Q/2020	EPI_ISL_2790711	MZ519423.1	Emory Molecular Diagnostics Laboratory, Emory Healthcare	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Kelleher et al
Australia/NT18/2020	EPI_ISL_426635		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Meumann et al
NewZealand/20VR0989/2020	EPI_ISL_456174	MZ331895.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR0987/2020	EPI_ISL_456172	MZ331894.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR0275/2020	EPI_ISL_416538	MZ331877.1	Wellington Hospital	Institute of Environmental Science and Research (ESR)	Wellington SCL et al
Guatemala/CDC-1234/2020	EPI_ISL_509701	MT844034.1	Guatemala Ministry of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
Venezuela/1Z/2020	EPI_ISL_1577817		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
Panama/328706/2020	EPI_ISL_496604		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Spain/RI-IBV-005990/2020	EPI_ISL_500423		Centro de Investigación Biomédica de La Rioja - Hospital San Pedro Logroño	SeqCOVID-SPAIN consortium/IBV(CSIC)	María de Toro et al
Panama/GMI-PA425903/2020	EPI_ISL_1225513		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/333271/2020	EPI_ISL_496736		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Panama/GMI-PA341363/2020	EPI_ISL_1225330		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/334102/2020	EPI_ISL_496764		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Panama/334256/2020	EPI_ISL_496770		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Panama/GMI-PA362250/2020	EPI_ISL_1225415		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA361898/2020	EPI_ISL_1225412		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA380510/2020	EPI_ISL_1225467		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/332238/2020	EPI_ISL_496705		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Panama/GMI-PA407/2020	EPI_ISL_1502838		Hospital Regional Dr. Luis "Chicho" Fábrega	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Panama/335002/2020	EPI_ISL_496800		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Panama/GMI-PA376271/2020	EPI_ISL_1001457		Gorgas memorial Institute For Health Studies	Gorgas memorial Institute For Health Studies	Díaz Y et al
Panama/GMI-PA342755/2020	EPI_ISL_1225339		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA360399/2020	EPI_ISL_1225403		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA346059/2020	EPI_ISL_1225358		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA345365/2020	EPI_ISL_1225355		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA425780/2020	EPI_ISL_1225511		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA427748/2020	EPI_ISL_1225518		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA389033/2020	EPI_ISL_1225475		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA369167/2020	EPI_ISL_1225453		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA369170/2020	EPI_ISL_1225455		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA369162/2020	EPI_ISL_1225450		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA369152/2020	EPI_ISL_1225446		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Panama/GMI-PA369146/2020	EPI_ISL_1225441		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Ecuador/USFQ-1168/2021	EPI_ISL_1896692		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
Panama/GMI-PA610416/2020	EPI_ISL_1502896		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Panama/GMI-PA653190/2021	EPI_ISL_1502981		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Panama/GMI-PA678605/2021	EPI_ISL_1503137		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Australia/QLD1526/2021	EPI_ISL_849762		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Australia/QLD1511/2021	EPI_ISL_1300526		Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Panama/GMI-PA610376/2020	EPI_ISL_1502892		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Panama/GMI-PA610714/2020	EPI_ISL_1502905		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Colombia/DC-308450/2021	EPI_ISL_1738783		Laboratorio de Salud Pública Bogota	Gencore - Universidad de los Andes	Marcela Guevara et al
Guyana/50829/2021	EPI_ISL_2230698		The Caribbean Public Health Agency	Carrington Lab, Department of PreClinical Sciences, Faculty of Medical Sciences, The University of the West Indies	Nikita S. D. Sahadeo et al
Suriname/SR-RIVM-22538/2021	EPI_ISL_1521293		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Suriname/SR-RIVM-22469/2021	EPI_ISL_1522076		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Mexico/COA_INER_IMSS_00754/2021	EPI_ISL_2091208		Centro de Investigación Biomédica del Noreste (CIBIN)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
NewZealand/21MV0416/2021	EPI_ISL_2103200		Waikato Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
Mexico/QUE-InDRE_F11360_S1135/2021	EPI_ISL_1516826		LESP Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
CostaRica/HNN-0568/2021	EPI_ISL_2103369		CLÍNICA DE CARIARI	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Pérez-Corrales C et al
CostaRica/INC-0511/2021	EPI_ISL_1827540		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/INC-0639/2021	EPI_ISL_2502737		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
Panama/GMI-PA687452/2021	EPI_ISL_1503020		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Panama/GMI-PA655071/2021	EPI_ISL_1502987		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Panama/GMI-PA693809/2021	EPI_ISL_1503042		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
Ecuador/NIC-INSPI-317735/2021	EPI_ISL_2348767		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
Ecuador/NIC-INSPI-317751/2021	EPI_ISL_2348772		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
Ecuador/USFQ-1419/2021	EPI_ISL_2492332		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Monica Becerra-Wong et al
Ecuador/USFQ-1316/2021	EPI_ISL_2100432		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Monica Becerra-Wong et al
CostaRica/INC-0431/2021	EPI_ISL_1712400		HOSPITAL CIUDAD NEILY	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/INC-0272/2021	EPI_ISL_1067595		TAMIZAJE COMUNITARIO - PASO CANOAS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/INC-0296/2021	EPI_ISL_1379392		HOSPITAL CIUDAD NEILY	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/HNN-0364/2021	EPI_ISL_1517408		Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Cristian Peréz-Corrales et al
CostaRica/INC-0284/2021	EPI_ISL_1196427		LABORATORIO CLINICO CENAHCE	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/INC-0540/2021	EPI_ISL_2103394		AREA DE SALUD PAVAS (COOPESALUD)	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/INC-0557/2021	EPI_ISL_2103408		AREA DE SALUD SAN ISIDRO	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
CostaRica/INC-0576/2021	EPI_ISL_2272963		AREA DE SALUD COBANO	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
Argentina/INEI104331/2021	EPI_ISL_2136170		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
Panama/GMI-PA696305/2021	EPI_ISL_1503056		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
