strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
SouthKorea/KCDC2001/2020	EPI_ISL_425117		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al A
Australia/VIC1820/2020	EPI_ISL_561722		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann et al
Singapore/898/2020	EPI_ISL_536439		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Lu-an/409/2020	EPI_ISL_1081199		Microbiology Laboratory,Lu`an Center for Disease Control and Prevention	Microbiology Laboratory,Lu`an Center for Disease Control and Prevention	Yang Wei et al
HongKong/HKPU52-3101/2020	EPI_ISL_419224	MT232690.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKU-902b/2020	EPI_ISL_434564	MT114413.1		Microbiology, The University of Hong Kong	To et al
Thailand/SI200040-NT/2020	EPI_ISL_437623	MT447155.1		Faculty of Medicine	Rodpan et al
Cambodia/0012/2020	EPI_ISL_411902		Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Thailand/74/2020	EPI_ISL_403963		Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.8.2000097)
Singapore/1nan/2020	EPI_ISL_482678		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Thailand/NIH-59/2020	EPI_ISL_434693		Bamrasnaradura hospital	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Lu-an/80/2020	EPI_ISL_1069201		Microbiology Laboratory,Lu`an Center for Disease Control and Prevention	Microbiology Laboratory,Lu`an Center for Disease Control and Prevention	Yang Wei et al
USA/IL1/2020	EPI_ISL_404253	MN988713.1	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Thailand/SI200433-NT/2020	EPI_ISL_437621	MT447157.1		Faculty of Medicine	Rodpan et al
Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	MT192759.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
Japan/NA-20-05-1/2020	EPI_ISL_410531		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A
Shanghai/SH0110/2020	EPI_ISL_416399		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Australia/NSW10/2020	EPI_ISL_413596		Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NSW08/2020	EPI_ISL_413594		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NSW219/2020	EPI_ISL_427643		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Timms V et al (https://www.nature.com/articles/s41591-020-1000-7)
Mexico/JAL-InDRE-16/2020	EPI_ISL_455454		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Mendieta-Condado Edgar et al
USA/HI-H200014/2020	EPI_ISL_752610		State Laboratories Division, Hawaii State Department of Health	State Laboratories Division, Hawaii State Department of Health	Pamela O'Brien et al
Mexico/JAL-InDRE-11/2020	EPI_ISL_455435		Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Garces-Ayala Fabiola. Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al
Israel/CVL-n3166/2020	EPI_ISL_447250		Central Virology Laboratory	Central Virology Laboratory	Neta Zuckerman et al
Australia/QLDID922/2020	EPI_ISL_418799		Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
UnitedArabEmirates/skmc-004/2020	EPI_ISL_582613		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-2200543130/2020	EPI_ISL_582623		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
Lithuania/KU-LUHS-Eilnr10/2020	EPI_ISL_603085		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr14/2020	EPI_ISL_541850		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr30/2020	EPI_ISL_603090		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr93/2020	EPI_ISL_603108		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
NewZealand/20VR0761/2020	EPI_ISL_456166		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1115/2020	EPI_ISL_456193	MZ331917.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Norway/2487/2020	EPI_ISL_2425863		Ostfold Hospital Trust - Kalnes, Centre for Laboratory Medicine, Section for gene technology and infection serology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
HongKong/CUHK-NC1999/2020	EPI_ISL_3066001		Department of Microbiology	Department of Microbiology	Zigui Chen et al
HongKong/CUHK-NC9006/2020	EPI_ISL_3066302		Department of Microbiology	Department of Microbiology	Zigui Chen et al
NewZealand/20VR1451/2020	EPI_ISL_456218	MZ331944.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
USA/NH-QDX-617/2020	EPI_ISL_571388	MW064686.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
Austria/CeMM0422/2020	EPI_ISL_475850		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al A
Denmark/ALAB-HH21/2020	EPI_ISL_429279		Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
USA/NE_6605/2020	EPI_ISL_424874	MT325592.1	NE Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al A
NewZealand/20CV0271/2020	EPI_ISL_579065		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20VR0759/2020	EPI_ISL_456164		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
HongKong/HKPU-00857/2020	EPI_ISL_1289446		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/CUHK-NC2089/2020	EPI_ISL_3066006		Department of Microbiology	Department of Microbiology	Zigui Chen et al
NewZealand/20VR2000/2020	EPI_ISL_456327	MZ332128.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1022/2020	EPI_ISL_456186	MZ331909.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1019/2020	EPI_ISL_456184	MZ331907.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1020/2020	EPI_ISL_456185	MZ331908.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1499/2020	EPI_ISL_456221	MZ331947.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
USA/CA-CDPH-UC3/2020	EPI_ISL_413559	MT419830.1	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al A (https://dx.doi.org/10.1126/science.abb9263)
Indonesia/BT-EIJK30/2020	EPI_ISL_766042		RS Sari Asih Ciledug	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
HongKong/HKPU63-1402/2020	EPI_ISL_419231	MT232696.1	Department of Clinical Pathology, Tuen Mun Hospital, 23 Tsing Chung Koon Road, Tuen Mun, N.T.	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU-00063/2020	EPI_ISL_2710827		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
Finland/1/2020	EPI_ISL_407079	MT020781.1	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A
Wuhan/HB-WH5-240/2020	EPI_ISL_454981		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Iceland/804/2020	EPI_ISL_1586468	OU183320.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A
Curacao/CW-RIVM-10309/2020	EPI_ISL_636493		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10308/2020	EPI_ISL_636492		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10093/2020	EPI_ISL_547451		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10092/2020	EPI_ISL_547450		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10094/2020	EPI_ISL_547452		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Pakistan/KHI1/2020	EPI_ISL_451958	MT500122.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel et al
Australia/QLD978/2020	EPI_ISL_530229		Queensland Health Forensic and Scientific Services, Public Health Virology	Public Health Virology Laboratory, Forensic and Scientific Services, Queensland Health	Son Nguyen et al
Ecuador/HEE-01/2020	EPI_ISL_417482		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
Curacao/CW-RIVM-10100/2020	EPI_ISL_547453		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
NewZealand/CoV001/2020	EPI_ISL_417211		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
Slovenia/5859/2020	EPI_ISL_2643858		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Netherlands/Loon_op_zand_1363512/2020	EPI_ISL_413576		RIVM	Erasmus Medical Center	David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)
Netherlands/NA_666/2020	EPI_ISL_461101		Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
Australia/NT43/2020	EPI_ISL_480691		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
HongKong/HKPU-00076/2020	EPI_ISL_2710828		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
Kazakhstan/123631/2020	EPI_ISL_1341150		Laboratory of Virology, National center of expertise	RSE "National Center of Expertise" and RSE "National center for Biotechnology"	Abdaliyev Askar et al
Kazakhstan/122252/2020	EPI_ISL_1341149		Laboratory of Virology, National center of expertise	RSE "National Center of Expertise" and RSE "National center for Biotechnology"	Abdaliyev Askar et al
Australia/NSW173/2020	EPI_ISL_427801		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
HongKong/CUHK-NC9087/2020	EPI_ISL_3066305		Department of Microbiology	Department of Microbiology	Zigui Chen et al
Ireland/LD-NVRL-20G49957/2020	EPI_ISL_681893		National Virus Reference Laboratory	Irish Coronavirus Sequencing Consortium - Teagasc Moorepark	Paul Cotter et al
Indonesia/JK-EIJK-03/2020	EPI_ISL_437191		RS Pondok Indah Hospital – Pondok Indah	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Singapore/970/2020	EPI_ISL_548978		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Norway/2087/2020	EPI_ISL_420151		Nordland Hospital - Bodo, Laboratory Department, Molecular Biology Unit	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Kazakhstan/KZ_Almaty/2020	EPI_ISL_2604957	MZ379258.1	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Burashev et al
Egypt/CCHE57357-P-37/2020	EPI_ISL_812867	MW467502.1	Genomics Program, Children Cancer Hospital	Genomics Program, Children Cancer Hospital	Hatem et al
Oman/RESP-20-6560/2020	EPI_ISL_457997		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
Kenya/C6914/2020	EPI_ISL_568817	MW751323.1	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji et al 2020 et al
Egypt/CCHE57357-A-70/2020	EPI_ISL_812840	MW467475.1	Genomics Program, Children Cancer Hospital	Genomics Program, Children Cancer Hospital	Hatem et al
Indonesia/JK-EIJK-0141/2020	EPI_ISL_435281		Medistra Hospital Jakarta	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Indonesia/JK-EIJK42/2020	EPI_ISL_574613		RS Harapan Bunda	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JB-EIJK41/2020	EPI_ISL_574612		RS Hermina Mekarsari	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK-40/2020	EPI_ISL_568691		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK46/2020	EPI_ISL_574615		RS Harapan Bunda	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/NT-EIJK27/2020	EPI_ISL_766039		RS Bhayangkara Tk. III	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK20/2020	EPI_ISL_574608		RS Mitra Keluarga Kelapa Gading	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK37/2020	EPI_ISL_766046		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK22/2020	EPI_ISL_766037		Puskesmas Palmerah	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK34/2020	EPI_ISL_574610		Puskesmas Tambora	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/NT-EIJK26/2020	EPI_ISL_766048		RS Bhayangkara Tk. III	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JI-ITD-1238Sp/2020	EPI_ISL_458079		Mitra Keluarga Hospital Kenjeran	Institute of Tropical Disease, Universitas Airlangga	Aldise M Nastri et al
Indonesia/BT-EIJK17/2020	EPI_ISL_766034		RS Mitra Keluarga Bintaro	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK31/2020	EPI_ISL_766043		RS Pelni	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/PA-EIJK09/2020	EPI_ISL_574603		RS Freeport Tembagapura	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Singapore/439/2020	EPI_ISL_475970		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
