Strain	WindowStart	WindowEnd	FractionIdentical
MN996532_Bat_CoV_RaTG13	1742	1841	0.9
MN996532_Bat_CoV_RaTG13	1772	1871	0.89
MN996532_Bat_CoV_RaTG13	1802	1901	0.89
MN996532_Bat_CoV_RaTG13	1832	1931	0.96
MN996532_Bat_CoV_RaTG13	1862	1961	0.95
MN996532_Bat_CoV_RaTG13	1892	1991	0.96
MN996532_Bat_CoV_RaTG13	1922	2021	0.96
MN996532_Bat_CoV_RaTG13	1952	2051	0.97
MN996532_Bat_CoV_RaTG13	1982	2081	0.96
MN996532_Bat_CoV_RaTG13	2012	2111	0.94
MN996532_Bat_CoV_RaTG13	2042	2141	0.92
MN996532_Bat_CoV_RaTG13	2072	2171	0.89
MN996532_Bat_CoV_RaTG13	2102	2201	0.89
MN996532_Bat_CoV_RaTG13	2132	2231	0.92
MN996532_Bat_CoV_RaTG13	2162	2261	0.96
MN996532_Bat_CoV_RaTG13	2192	2291	0.97
MN996532_Bat_CoV_RaTG13	2222	2321	0.97
MN996532_Bat_CoV_RaTG13	2252	2351	0.95
MN996532_Bat_CoV_RaTG13	2282	2381	0.96
MN996532_Bat_CoV_RaTG13	2312	2411	0.95
MN996532_Bat_CoV_RaTG13	2342	2441	0.95
MN996532_Bat_CoV_RaTG13	2372	2471	0.93
MN996532_Bat_CoV_RaTG13	2402	2501	0.93
MN996532_Bat_CoV_RaTG13	2432	2531	0.93
MN996532_Bat_CoV_RaTG13	2462	2561	0.96
MN996532_Bat_CoV_RaTG13	2492	2591	0.99
MN996532_Bat_CoV_RaTG13	2522	2621	0.98
MN996532_Bat_CoV_RaTG13	2552	2651	0.96
MN996532_Bat_CoV_RaTG13	2582	2681	0.96
MN996532_Bat_CoV_RaTG13	2612	2711	0.96
MN996532_Bat_CoV_RaTG13	2642	2741	0.97
MN996532_Bat_CoV_RaTG13	2672	2771	0.97
MN996532_Bat_CoV_RaTG13	2702	2801	0.96
MN996532_Bat_CoV_RaTG13	2732	2831	0.95
MN996532_Bat_CoV_RaTG13	2762	2861	0.95
MN996532_Bat_CoV_RaTG13	2792	2891	0.93
MN996532_Bat_CoV_RaTG13	2822	2921	0.94
MN996532_Bat_CoV_RaTG13	2852	2951	0.95
MN996532_Bat_CoV_RaTG13	2882	2981	0.96
MN996532_Bat_CoV_RaTG13	2912	3011	0.96
MN996532_Bat_CoV_RaTG13	2942	3041	0.95
MN996532_Bat_CoV_RaTG13	2972	3071	0.95
MN996532_Bat_CoV_RaTG13	3002	3101	0.92
MN996532_Bat_CoV_RaTG13	3032	3131	0.94
MN996532_Bat_CoV_RaTG13	3062	3161	0.96
MN996532_Bat_CoV_RaTG13	3092	3191	0.93
MN996532_Bat_CoV_RaTG13	3122	3221	0.94
MN996532_Bat_CoV_RaTG13	3152	3251	0.89
MN996532_Bat_CoV_RaTG13	3182	3281	0.87
MN996532_Bat_CoV_RaTG13	3212	3311	0.86
MN996532_Bat_CoV_RaTG13	3242	3341	0.86
MN996532_Bat_CoV_RaTG13	3272	3371	0.92
MN996532_Bat_CoV_RaTG13	3302	3401	0.95
MN996532_Bat_CoV_RaTG13	3332	3431	0.96
MN996532_Bat_CoV_RaTG13	3362	3461	0.96
MN996532_Bat_CoV_RaTG13	3392	3491	0.94
MN996532_Bat_CoV_RaTG13	3422	3521	0.93
MN996532_Bat_CoV_RaTG13	3453	3552	0.93
MN996532_Bat_CoV_RaTG13	3483	3582	0.91
MN996532_Bat_CoV_RaTG13	3513	3612	0.91
MN996532_Bat_CoV_RaTG13	3543	3642	0.91
MN996532_Bat_CoV_RaTG13	3573	3672	0.93
MN996532_Bat_CoV_RaTG13	3603	3702	0.94
MN996532_Bat_CoV_RaTG13	3633	3732	0.94
MN996532_Bat_CoV_RaTG13	3663	3762	0.95
MN996532_Bat_CoV_RaTG13	3693	3792	0.94
MN996532_Bat_CoV_RaTG13	3723	3822	0.97
MN996532_Bat_CoV_RaTG13	3753	3852	0.97
MN996532_Bat_CoV_RaTG13	3783	3882	0.95
MN996532_Bat_CoV_RaTG13	3813	3912	0.93
MN996532_Bat_CoV_RaTG13	3843	3942	0.91
MN996532_Bat_CoV_RaTG13	3873	3972	0.9
MN996532_Bat_CoV_RaTG13	3903	4002	0.94
MN996532_Bat_CoV_RaTG13	3933	4032	0.94
MN996532_Bat_CoV_RaTG13	3963	4062	0.97
MN996532_Bat_CoV_RaTG13	3993	4092	0.96
MN996532_Bat_CoV_RaTG13	4023	4122	0.97
MN996532_Bat_CoV_RaTG13	4053	4152	0.98
MN996532_Bat_CoV_RaTG13	4083	4182	0.98
MN996532_Bat_CoV_RaTG13	4113	4212	0.96
MN996532_Bat_CoV_RaTG13	4143	4242	0.94
MN996532_Bat_CoV_RaTG13	4173	4272	0.93
MN996532_Bat_CoV_RaTG13	4203	4302	0.91
MN996532_Bat_CoV_RaTG13	4233	4332	0.93
MN996532_Bat_CoV_RaTG13	4263	4362	0.97
MN996532_Bat_CoV_RaTG13	4293	4392	0.99
MN996532_Bat_CoV_RaTG13	4323	4422	0.98
MN996532_Bat_CoV_RaTG13	4353	4452	0.96
MN996532_Bat_CoV_RaTG13	4383	4482	0.95
MN996532_Bat_CoV_RaTG13	4413	4512	0.94
MN996532_Bat_CoV_RaTG13	4443	4542	0.96
MN996532_Bat_CoV_RaTG13	4473	4572	0.96
MN996532_Bat_CoV_RaTG13	4503	4602	0.94
MN996532_Bat_CoV_RaTG13	4533	4632	0.95
MN996532_Bat_CoV_RaTG13	4563	4662	0.96
MN996532_Bat_CoV_RaTG13	4593	4692	0.98
MN996532_Bat_CoV_RaTG13	4623	4722	0.99
MN996532_Bat_CoV_RaTG13	4653	4752	0.99
MN996532_Bat_CoV_RaTG13	4683	4782	0.99
MN996532_Bat_CoV_RaTG13	4713	4812	0.96
MN996532_Bat_CoV_RaTG13	4743	4842	0.96
MN996532_Bat_CoV_RaTG13	4773	4872	0.95
MN996532_Bat_CoV_RaTG13	4803	4902	0.94
MN996532_Bat_CoV_RaTG13	4833	4932	0.95
MN996532_Bat_CoV_RaTG13	4863	4962	0.91
MN996532_Bat_CoV_RaTG13	4893	4992	0.95
MN996532_Bat_CoV_RaTG13	4923	5022	0.95
MN996532_Bat_CoV_RaTG13	4953	5052	0.96
MN996532_Bat_CoV_RaTG13	4983	5082	0.98
MN996532_Bat_CoV_RaTG13	5013	5112	0.99
MN996532_Bat_CoV_RaTG13	5043	5142	0.97
MN996532_Bat_CoV_RaTG13	5073	5172	0.96
MN996532_Bat_CoV_RaTG13	5103	5202	0.96
MN996532_Bat_CoV_RaTG13	5133	5232	0.98
MN996532_Bat_CoV_RaTG13	5163	5262	0.99
MN996532_Bat_CoV_RaTG13	5193	5292	0.99
MN996532_Bat_CoV_RaTG13	5223	5322	0.96
MN996532_Bat_CoV_RaTG13	5253	5352	0.94
MN996532_Bat_CoV_RaTG13	5283	5382	0.9
MN996532_Bat_CoV_RaTG13	5313	5412	0.9
MN996532_Bat_CoV_RaTG13	5343	5442	0.93
MN996532_Bat_CoV_RaTG13	5373	5472	0.95
MN996532_Bat_CoV_RaTG13	5403	5502	0.97
MN996532_Bat_CoV_RaTG13	5433	5532	0.97
MN996532_Bat_CoV_RaTG13	5463	5562	0.95
MN996532_Bat_CoV_RaTG13	5493	5592	0.97
MN996532_Bat_CoV_RaTG13	5523	5622	0.96
MN996532_Bat_CoV_RaTG13	5553	5652	0.96
MN996532_Bat_CoV_RaTG13	5583	5682	0.95
MN996532_Bat_CoV_RaTG13	5613	5712	0.96
MN996532_Bat_CoV_RaTG13	5643	5742	0.96
MN996532_Bat_CoV_RaTG13	5673	5772	0.98
MN996532_Bat_CoV_RaTG13	5703	5802	0.99
MN996532_Bat_CoV_RaTG13	5734	5833	1.0
MN996532_Bat_CoV_RaTG13	5764	5863	0.97
MN996532_Bat_CoV_RaTG13	5794	5893	0.93
MN996532_Bat_CoV_RaTG13	5824	5923	0.92
MN996532_Bat_CoV_RaTG13	5854	5953	0.93
MN996532_Bat_CoV_RaTG13	5884	5983	0.96
MN996532_Bat_CoV_RaTG13	5914	6013	0.98
MN996532_Bat_CoV_RaTG13	5944	6043	0.95
MN996532_Bat_CoV_RaTG13	5974	6073	0.94
MN996532_Bat_CoV_RaTG13	6004	6103	0.93
MN996532_Bat_CoV_RaTG13	6034	6133	0.95
MN996532_Bat_CoV_RaTG13	6064	6163	0.95
MN996532_Bat_CoV_RaTG13	6094	6193	0.97
MN996532_Bat_CoV_RaTG13	6124	6223	0.97
MN996532_Bat_CoV_RaTG13	6154	6253	0.98
MN996532_Bat_CoV_RaTG13	6184	6283	0.95
MN996532_Bat_CoV_RaTG13	6214	6313	0.93
MN996532_Bat_CoV_RaTG13	6244	6343	0.92
MN996532_Bat_CoV_RaTG13	6274	6373	0.92
MN996532_Bat_CoV_RaTG13	6304	6403	0.95
MN996532_Bat_CoV_RaTG13	6334	6433	0.96
MN996532_Bat_CoV_RaTG13	6364	6463	0.99
MN996532_Bat_CoV_RaTG13	6394	6493	0.99
MN996532_Bat_CoV_RaTG13	6424	6523	0.96
MN996532_Bat_CoV_RaTG13	6454	6553	0.95
MN996532_Bat_CoV_RaTG13	6484	6583	0.95
MN996532_Bat_CoV_RaTG13	6514	6613	0.97
MN996532_Bat_CoV_RaTG13	6544	6643	0.98
MN996532_Bat_CoV_RaTG13	6574	6673	0.96
MN996532_Bat_CoV_RaTG13	6604	6703	0.96
MN996532_Bat_CoV_RaTG13	6634	6733	0.95
MN996532_Bat_CoV_RaTG13	6664	6763	0.94
MN996532_Bat_CoV_RaTG13	6694	6793	0.96
MN996532_Bat_CoV_RaTG13	6724	6823	0.98
MN996532_Bat_CoV_RaTG13	6754	6853	1.0
MN996532_Bat_CoV_RaTG13	6784	6883	0.99
MN996532_Bat_CoV_RaTG13	6814	6913	0.98
MN996532_Bat_CoV_RaTG13	6844	6943	0.93
MN996532_Bat_CoV_RaTG13	6874	6973	0.92
MN996532_Bat_CoV_RaTG13	6904	7003	0.92
MN996532_Bat_CoV_RaTG13	6934	7033	0.93
MN996532_Bat_CoV_RaTG13	6964	7063	0.96
MN996532_Bat_CoV_RaTG13	6994	7093	0.98
MN996532_Bat_CoV_RaTG13	7024	7123	0.96
MN996532_Bat_CoV_RaTG13	7054	7153	0.95
MN996532_Bat_CoV_RaTG13	7084	7183	0.95
MN996532_Bat_CoV_RaTG13	7114	7213	0.98
MN996532_Bat_CoV_RaTG13	7144	7243	0.99
MN996532_Bat_CoV_RaTG13	7174	7273	0.99
MN996532_Bat_CoV_RaTG13	7204	7303	0.97
MN996532_Bat_CoV_RaTG13	7234	7333	0.97
MN996532_Bat_CoV_RaTG13	7264	7363	0.97
MN996532_Bat_CoV_RaTG13	7294	7393	0.98
MN996532_Bat_CoV_RaTG13	7324	7423	0.97
MN996532_Bat_CoV_RaTG13	7354	7453	0.97
MN996532_Bat_CoV_RaTG13	7384	7483	0.95
MN996532_Bat_CoV_RaTG13	7414	7513	0.97
MN996532_Bat_CoV_RaTG13	7444	7543	0.97
MN996532_Bat_CoV_RaTG13	7474	7573	0.98
MN996532_Bat_CoV_RaTG13	7504	7603	0.99
MN996532_Bat_CoV_RaTG13	7534	7633	0.98
MN996532_Bat_CoV_RaTG13	7564	7663	0.98
MN996532_Bat_CoV_RaTG13	7594	7693	0.98
MN996532_Bat_CoV_RaTG13	7624	7723	0.99
MN996532_Bat_CoV_RaTG13	7654	7753	0.97
MN996532_Bat_CoV_RaTG13	7684	7783	0.97
MN996532_Bat_CoV_RaTG13	7714	7813	0.97
MN996532_Bat_CoV_RaTG13	7744	7843	0.99
MN996532_Bat_CoV_RaTG13	7774	7873	0.97
MN996532_Bat_CoV_RaTG13	7804	7903	0.97
MN996532_Bat_CoV_RaTG13	7834	7933	0.97
MN996532_Bat_CoV_RaTG13	7864	7963	0.99
MN996532_Bat_CoV_RaTG13	7894	7993	0.99
MN996532_Bat_CoV_RaTG13	7924	8023	0.97
MN996532_Bat_CoV_RaTG13	7954	8053	0.98
MN996532_Bat_CoV_RaTG13	7984	8083	0.97
MN996532_Bat_CoV_RaTG13	8014	8113	0.96
MN996532_Bat_CoV_RaTG13	8045	8144	0.98
MN996532_Bat_CoV_RaTG13	8075	8174	0.96
MN996532_Bat_CoV_RaTG13	8105	8204	0.98
MN996532_Bat_CoV_RaTG13	8135	8234	0.98
MN996532_Bat_CoV_RaTG13	8165	8264	1.0
MN996532_Bat_CoV_RaTG13	8195	8294	0.99
MN996532_Bat_CoV_RaTG13	8225	8324	0.98
MN996532_Bat_CoV_RaTG13	8255	8354	0.98
MN996532_Bat_CoV_RaTG13	8285	8384	0.99
MN996532_Bat_CoV_RaTG13	8315	8414	0.97
MN996532_Bat_CoV_RaTG13	8345	8444	0.96
MN996532_Bat_CoV_RaTG13	8375	8474	0.94
MN996532_Bat_CoV_RaTG13	8405	8504	0.94
MN996532_Bat_CoV_RaTG13	8435	8534	0.96
MN996532_Bat_CoV_RaTG13	8465	8564	0.96
MN996532_Bat_CoV_RaTG13	8495	8594	0.99
MN996532_Bat_CoV_RaTG13	8525	8624	0.97
MN996532_Bat_CoV_RaTG13	8555	8654	0.98
MN996532_Bat_CoV_RaTG13	8585	8684	0.97
MN996532_Bat_CoV_RaTG13	8615	8714	0.96
MN996532_Bat_CoV_RaTG13	8645	8744	0.97
MN996532_Bat_CoV_RaTG13	8675	8774	0.97
MN996532_Bat_CoV_RaTG13	8705	8804	0.99
MN996532_Bat_CoV_RaTG13	8735	8834	0.98
MN996532_Bat_CoV_RaTG13	8765	8864	0.98
MN996532_Bat_CoV_RaTG13	8795	8894	0.96
MN996532_Bat_CoV_RaTG13	8825	8924	0.97
MN996532_Bat_CoV_RaTG13	8855	8954	0.96
MN996532_Bat_CoV_RaTG13	8885	8984	0.98
MN996532_Bat_CoV_RaTG13	8915	9014	0.97
MN996532_Bat_CoV_RaTG13	8945	9044	0.97
MN996532_Bat_CoV_RaTG13	8975	9074	0.98
MN996532_Bat_CoV_RaTG13	9005	9104	0.98
MN996532_Bat_CoV_RaTG13	9035	9134	0.94
MN996532_Bat_CoV_RaTG13	9065	9164	0.94
MN996532_Bat_CoV_RaTG13	9095	9194	0.95
MN996532_Bat_CoV_RaTG13	9125	9224	0.97
MN996532_Bat_CoV_RaTG13	9155	9254	0.97
MN996532_Bat_CoV_RaTG13	9185	9284	0.97
MN996532_Bat_CoV_RaTG13	9215	9314	0.97
MN996532_Bat_CoV_RaTG13	9245	9344	0.98
MN996532_Bat_CoV_RaTG13	9275	9374	0.97
MN996532_Bat_CoV_RaTG13	9305	9404	0.97
MN996532_Bat_CoV_RaTG13	9335	9434	0.94
MN996532_Bat_CoV_RaTG13	9365	9464	0.94
MN996532_Bat_CoV_RaTG13	9395	9494	0.94
MN996532_Bat_CoV_RaTG13	9425	9524	0.98
MN996532_Bat_CoV_RaTG13	9455	9554	0.99
MN996532_Bat_CoV_RaTG13	9485	9584	0.97
MN996532_Bat_CoV_RaTG13	9515	9614	0.98
MN996532_Bat_CoV_RaTG13	9545	9644	0.96
MN996532_Bat_CoV_RaTG13	9575	9674	0.98
MN996532_Bat_CoV_RaTG13	9605	9704	0.96
MN996532_Bat_CoV_RaTG13	9635	9734	0.95
MN996532_Bat_CoV_RaTG13	9665	9764	0.93
MN996532_Bat_CoV_RaTG13	9695	9794	0.94
MN996532_Bat_CoV_RaTG13	9725	9824	0.91
MN996532_Bat_CoV_RaTG13	9755	9854	0.93
MN996532_Bat_CoV_RaTG13	9785	9884	0.9
MN996532_Bat_CoV_RaTG13	9815	9914	0.92
MN996532_Bat_CoV_RaTG13	9845	9944	0.94
MN996532_Bat_CoV_RaTG13	9875	9974	0.95
MN996532_Bat_CoV_RaTG13	9905	10004	0.95
MN996532_Bat_CoV_RaTG13	9935	10034	0.95
MN996532_Bat_CoV_RaTG13	9965	10064	0.94
MN996532_Bat_CoV_RaTG13	9995	10094	0.97
MN996532_Bat_CoV_RaTG13	10025	10124	0.96
MN996532_Bat_CoV_RaTG13	10055	10154	0.95
MN996532_Bat_CoV_RaTG13	10085	10184	0.94
MN996532_Bat_CoV_RaTG13	10115	10214	0.95
MN996532_Bat_CoV_RaTG13	10145	10244	0.93
MN996532_Bat_CoV_RaTG13	10175	10274	0.94
MN996532_Bat_CoV_RaTG13	10205	10304	0.92
MN996532_Bat_CoV_RaTG13	10235	10334	0.94
MN996532_Bat_CoV_RaTG13	10265	10364	0.92
MN996532_Bat_CoV_RaTG13	10295	10394	0.94
MN996532_Bat_CoV_RaTG13	10326	10425	0.95
MN996532_Bat_CoV_RaTG13	10356	10455	0.95
MN996532_Bat_CoV_RaTG13	10386	10485	0.94
MN996532_Bat_CoV_RaTG13	10416	10515	0.93
MN996532_Bat_CoV_RaTG13	10446	10545	0.94
MN996532_Bat_CoV_RaTG13	10476	10575	0.99
MN996532_Bat_CoV_RaTG13	10506	10605	0.98
MN996532_Bat_CoV_RaTG13	10536	10635	0.97
MN996532_Bat_CoV_RaTG13	10566	10665	0.95
MN996532_Bat_CoV_RaTG13	10596	10695	0.96
MN996532_Bat_CoV_RaTG13	10626	10725	0.98
MN996532_Bat_CoV_RaTG13	10656	10755	0.97
MN996532_Bat_CoV_RaTG13	10686	10785	0.98
MN996532_Bat_CoV_RaTG13	10716	10815	0.97
MN996532_Bat_CoV_RaTG13	10746	10845	0.97
MN996532_Bat_CoV_RaTG13	10776	10875	0.97
MN996532_Bat_CoV_RaTG13	10806	10905	0.98
MN996532_Bat_CoV_RaTG13	10836	10935	0.99
MN996532_Bat_CoV_RaTG13	10866	10965	1.0
MN996532_Bat_CoV_RaTG13	10896	10995	0.99
MN996532_Bat_CoV_RaTG13	10926	11025	0.96
MN996532_Bat_CoV_RaTG13	10956	11055	0.96
MN996532_Bat_CoV_RaTG13	10986	11085	0.96
MN996532_Bat_CoV_RaTG13	11016	11115	0.97
MN996532_Bat_CoV_RaTG13	11046	11145	0.98
MN996532_Bat_CoV_RaTG13	11076	11175	0.96
MN996532_Bat_CoV_RaTG13	11106	11205	0.96
MN996532_Bat_CoV_RaTG13	11136	11235	0.95
MN996532_Bat_CoV_RaTG13	11166	11265	0.95
MN996532_Bat_CoV_RaTG13	11196	11295	0.97
MN996532_Bat_CoV_RaTG13	11226	11325	0.98
MN996532_Bat_CoV_RaTG13	11256	11355	0.98
MN996532_Bat_CoV_RaTG13	11286	11385	0.98
MN996532_Bat_CoV_RaTG13	11316	11415	0.98
MN996532_Bat_CoV_RaTG13	11346	11445	0.98
MN996532_Bat_CoV_RaTG13	11376	11475	0.97
MN996532_Bat_CoV_RaTG13	11406	11505	0.97
MN996532_Bat_CoV_RaTG13	11436	11535	0.97
MN996532_Bat_CoV_RaTG13	11466	11565	0.98
MN996532_Bat_CoV_RaTG13	11496	11595	0.98
MN996532_Bat_CoV_RaTG13	11526	11625	1.0
MN996532_Bat_CoV_RaTG13	11556	11655	0.98
MN996532_Bat_CoV_RaTG13	11586	11685	0.97
MN996532_Bat_CoV_RaTG13	11616	11715	0.94
MN996532_Bat_CoV_RaTG13	11646	11745	0.93
MN996532_Bat_CoV_RaTG13	11676	11775	0.92
MN996532_Bat_CoV_RaTG13	11706	11805	0.91
MN996532_Bat_CoV_RaTG13	11736	11835	0.92
MN996532_Bat_CoV_RaTG13	11766	11865	0.95
MN996532_Bat_CoV_RaTG13	11796	11895	0.96
MN996532_Bat_CoV_RaTG13	11826	11925	0.98
MN996532_Bat_CoV_RaTG13	11856	11955	0.97
MN996532_Bat_CoV_RaTG13	11886	11985	0.97
MN996532_Bat_CoV_RaTG13	11916	12015	0.98
MN996532_Bat_CoV_RaTG13	11946	12045	0.98
MN996532_Bat_CoV_RaTG13	11976	12075	0.98
MN996532_Bat_CoV_RaTG13	12006	12105	0.98
MN996532_Bat_CoV_RaTG13	12036	12135	0.98
MN996532_Bat_CoV_RaTG13	12066	12165	0.97
MN996532_Bat_CoV_RaTG13	12096	12195	0.96
MN996532_Bat_CoV_RaTG13	12126	12225	0.97
MN996532_Bat_CoV_RaTG13	12156	12255	0.98
MN996532_Bat_CoV_RaTG13	12186	12285	0.98
MN996532_Bat_CoV_RaTG13	12216	12315	0.99
MN996532_Bat_CoV_RaTG13	12246	12345	0.98
MN996532_Bat_CoV_RaTG13	12276	12375	0.99
MN996532_Bat_CoV_RaTG13	12306	12405	0.99
MN996532_Bat_CoV_RaTG13	12336	12435	1.0
MN996532_Bat_CoV_RaTG13	12366	12465	0.99
MN996532_Bat_CoV_RaTG13	12396	12495	0.98
MN996532_Bat_CoV_RaTG13	12426	12525	0.98
MN996532_Bat_CoV_RaTG13	12456	12555	0.98
MN996532_Bat_CoV_RaTG13	12486	12585	0.98
MN996532_Bat_CoV_RaTG13	12516	12615	0.97
MN996532_Bat_CoV_RaTG13	12546	12645	0.98
MN996532_Bat_CoV_RaTG13	12576	12675	0.99
MN996532_Bat_CoV_RaTG13	12606	12705	0.99
MN996532_Bat_CoV_RaTG13	12637	12736	1.0
MN996532_Bat_CoV_RaTG13	12667	12766	1.0
MN996532_Bat_CoV_RaTG13	12697	12796	1.0
MN996532_Bat_CoV_RaTG13	12727	12826	0.99
MN996532_Bat_CoV_RaTG13	12757	12856	0.99
MN996532_Bat_CoV_RaTG13	12787	12886	0.99
MN996532_Bat_CoV_RaTG13	12817	12916	1.0
MN996532_Bat_CoV_RaTG13	12847	12946	1.0
MN996532_Bat_CoV_RaTG13	12877	12976	0.99
MN996532_Bat_CoV_RaTG13	12907	13006	0.99
MN996532_Bat_CoV_RaTG13	12937	13036	0.97
MN996532_Bat_CoV_RaTG13	12967	13066	0.96
MN996532_Bat_CoV_RaTG13	12997	13096	0.96
MN996532_Bat_CoV_RaTG13	13027	13126	0.96
MN996532_Bat_CoV_RaTG13	13057	13156	0.96
MN996532_Bat_CoV_RaTG13	13087	13186	0.97
MN996532_Bat_CoV_RaTG13	13117	13216	0.99
MN996532_Bat_CoV_RaTG13	13147	13246	0.99
MN996532_Bat_CoV_RaTG13	13177	13276	0.98
MN996532_Bat_CoV_RaTG13	13207	13306	0.99
MN996532_Bat_CoV_RaTG13	13237	13336	0.98
MN996532_Bat_CoV_RaTG13	13267	13366	0.99
MN996532_Bat_CoV_RaTG13	13297	13396	0.99
MN996532_Bat_CoV_RaTG13	13327	13426	0.99
MN996532_Bat_CoV_RaTG13	13357	13456	1.0
MN996532_Bat_CoV_RaTG13	13387	13486	1.0
MN996532_Bat_CoV_RaTG13	13417	13516	1.0
MN996532_Bat_CoV_RaTG13	13447	13546	0.98
MN996532_Bat_CoV_RaTG13	13477	13576	0.98
MN996532_Bat_CoV_RaTG13	13507	13606	0.97
MN996532_Bat_CoV_RaTG13	13537	13636	0.97
MN996532_Bat_CoV_RaTG13	13567	13666	0.97
MN996532_Bat_CoV_RaTG13	13597	13696	0.98
MN996532_Bat_CoV_RaTG13	13627	13726	1.0
MN996532_Bat_CoV_RaTG13	13657	13756	0.99
MN996532_Bat_CoV_RaTG13	13687	13786	0.99
MN996532_Bat_CoV_RaTG13	13717	13816	0.99
MN996532_Bat_CoV_RaTG13	13747	13846	0.99
MN996532_Bat_CoV_RaTG13	13777	13876	0.96
MN996532_Bat_CoV_RaTG13	13807	13906	0.95
MN996532_Bat_CoV_RaTG13	13837	13936	0.94
MN996532_Bat_CoV_RaTG13	13867	13966	0.97
MN996532_Bat_CoV_RaTG13	13897	13996	0.98
MN996532_Bat_CoV_RaTG13	13927	14026	1.0
MN996532_Bat_CoV_RaTG13	13957	14056	0.97
MN996532_Bat_CoV_RaTG13	13987	14086	0.97
MN996532_Bat_CoV_RaTG13	14017	14116	0.96
MN996532_Bat_CoV_RaTG13	14047	14146	0.96
MN996532_Bat_CoV_RaTG13	14077	14176	0.96
MN996532_Bat_CoV_RaTG13	14107	14206	0.93
MN996532_Bat_CoV_RaTG13	14137	14236	0.93
MN996532_Bat_CoV_RaTG13	14167	14266	0.93
MN996532_Bat_CoV_RaTG13	14197	14296	0.98
MN996532_Bat_CoV_RaTG13	14227	14326	0.98
MN996532_Bat_CoV_RaTG13	14257	14356	0.99
MN996532_Bat_CoV_RaTG13	14287	14386	0.99
MN996532_Bat_CoV_RaTG13	14317	14416	0.99
MN996532_Bat_CoV_RaTG13	14347	14446	0.98
MN996532_Bat_CoV_RaTG13	14377	14476	0.98
MN996532_Bat_CoV_RaTG13	14407	14506	0.98
MN996532_Bat_CoV_RaTG13	14437	14536	0.99
MN996532_Bat_CoV_RaTG13	14467	14566	0.99
