strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
HongKong/HKPU6_2101/2020	EPI_ISL_417178	MT232664.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKU-902a/2020	EPI_ISL_434563	MT114412.1		Microbiology, The University of Hong Kong	To et al
HongKong/HKU-902b/2020	EPI_ISL_434564	MT114413.1		Microbiology, The University of Hong Kong	To et al
Germany/SH-ChVir3199/2020	EPI_ISL_729461		A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al A
Ecuador/HEE-01/2020	EPI_ISL_417482		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
mink/Netherlands/NB-EMC-2-19/2020	EPI_ISL_523072		Dutch COVID-19 response team	Erasmus Medical Center	OH consortium et al
NewZealand/CoV001/2020	EPI_ISL_417211		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
Wuhan/HB-WHCM-112/2020	EPI_ISL_455405		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Wuhan/HB-WHCM-119/2020	EPI_ISL_455407		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
France/IDF-0373/2020	EPI_ISL_406597		Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al A (https://dx.doi.org/10.1099/acmi.0.000133)
Thailand/SI200478-NST/2020	EPI_ISL_437619	MT447159.1		Faculty of Medicine	Rodpan et al
Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Singapore/7/2020	EPI_ISL_410713		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Sweden/20-02114/2020	EPI_ISL_476139		Folkhalsomyndigheten	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
HongKong/HKU-200723-045/2020	EPI_ISL_497812		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKPU-00019/2020	EPI_ISL_2710817		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU23_2601/2020	EPI_ISL_417183	MT232669.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU-00027/2020	EPI_ISL_2710807		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU84-2502/2020	EPI_ISL_419248	MT232705.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU-00102/2020	EPI_ISL_2710834		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU12_2201/2020	EPI_ISL_417179	MT232665.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
France/IDF_HB_112003002655/2020	EPI_ISL_940536		Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al
France/IDF_HB_112001900001/2020	EPI_ISL_940542		Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al
Thailand/SI200893-NT/2020	EPI_ISL_437624	MT447154.1		Faculty of Medicine	Rodpan et al
Uganda/UG039/2020	EPI_ISL_737959		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
Australia/NSW03/2020	EPI_ISL_408977		Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/VIC03/2020	EPI_ISL_416411		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Thailand/SI201712-NT/2020	EPI_ISL_437617	MT447161.1		Faculty of Medicine	Rodpan et al
Singapore/9/2020	EPI_ISL_410715		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Singapore/186/2020	EPI_ISL_462304		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Guangdong/20SF822/2020	EPI_ISL_428477		Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	School of Public Health, The University of Hong Kong	Bosheng Li et al
Australia/QLDID922/2020	EPI_ISL_418799		Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
UnitedArabEmirates/skmc-007/2020	EPI_ISL_582616		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-2200543130/2020	EPI_ISL_582623		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
Lithuania/MR-LUHS-Eilnr100/2020	EPI_ISL_603111		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Molecular cardiology lab.	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr49/2020	EPI_ISL_541861		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology	Lukas Zemaitis et al
Lithuania/MR-LUHS-Eilnr37/2020	EPI_ISL_541856		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology	Lukas Zemaitis et al
Thailand/NIH-15/2020	EPI_ISL_434692		Bamrasnaradura hospital	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al
Cambodia/0012/2020	EPI_ISL_411902		Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Singapore/2nan/2020	EPI_ISL_482679		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Turkey/HSGM-5770/2020	EPI_ISL_428718		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al A (https://dx.doi.org/10.1101/2020.05.15.095794)
Singapore/188/2020	EPI_ISL_462306		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Japan/OS-20-07-1/2020	EPI_ISL_410532		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
USA/IL1/2020	EPI_ISL_404253	MN988713.1	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Indonesia/SA-EIJK13/2020	EPI_ISL_574604		RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Germany/BY-IMB00331/2020	EPI_ISL_732530		Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	Markus Antwerpen et al
Wuhan/HB-WH2-162/2020	EPI_ISL_455374		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Australia/ACT0047/2020	EPI_ISL_498514		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Spain/MD-HLP-113/2020	EPI_ISL_530042		Hospital Universitario La Paz	Hospital Universitario La Paz	María Rodríguez et al
Curacao/CW-RIVM-10100/2020	EPI_ISL_547453		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10308/2020	EPI_ISL_636492		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10309/2020	EPI_ISL_636493		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10093/2020	EPI_ISL_547451		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10092/2020	EPI_ISL_547450		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-10094/2020	EPI_ISL_547452		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Latvia/02/2020	EPI_ISL_421654		E. Gulbja Laboratorija	Latvian Biomedical Research and Study Centre	Ivars Silamiķelis et al
Pakistan/KHI1/2020	EPI_ISL_451958	MT500122.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel et al
Australia/QLD978/2020	EPI_ISL_530229		Queensland Health Forensic and Scientific Services, Public Health Virology	Public Health Virology Laboratory, Forensic and Scientific Services, Queensland Health	Son Nguyen et al
Malaysia/UNIMAS-0930/2020	EPI_ISL_718147		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Malaysia/UNIMAS-14960/2020	EPI_ISL_718143		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Malaysia/UNIMAS-0179/2020	EPI_ISL_718140		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Malaysia/UNIMAS-0298/2020	EPI_ISL_718138		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Wuhan/0126-C12/2020	EPI_ISL_493170		National Virus Resource Center, Chinese Academy of Sciences, Wuhan 430071, China	Computational Virology Group, Center for Bacteria and Viruses Resources and Bioinformation, Wuhan Institute of Virology, Chinese Academy of Sciences，Wuhan 430071, China	Jianjun Chen et al
Australia/NSW219/2020	EPI_ISL_427643		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Timms V et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NSW08/2020	EPI_ISL_413594		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
Australia/NSW10/2020	EPI_ISL_413596		Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)
Indonesia/JK-EIJK33/2020	EPI_ISL_766044		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/JK-EIJK-07/2020	EPI_ISL_467376		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
France/IDF_HB_112001012957/2020	EPI_ISL_940274		Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al
Finland/1/2020	EPI_ISL_407079	MT020781.1	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A
Indonesia/JK-EIJK37/2020	EPI_ISL_766046		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/PA-EIJK09/2020	EPI_ISL_574603		RS Freeport Tembagapura	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/BT-LIPI-006/2020	EPI_ISL_833391		Klinik Apotek Dein, Jakarta, Indonesia	Biosafety Level-3 Laboratory, Indonesian Institute of Sciences (LIPI)	Andri Wardiana et al
Indonesia/JK-EIJK34/2020	EPI_ISL_574610		Puskesmas Tambora	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Japan/NA-20-05-1/2020	EPI_ISL_410531		Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al C
Thailand/SI200433-NT/2020	EPI_ISL_437621	MT447157.1		Faculty of Medicine	Rodpan et al
USA/CA-CDPH017/2020	EPI_ISL_515910		California Department of Public Health	California Department of Public Health	CDPH IDLB COVIDNet et al
USA/NE_6605/2020	EPI_ISL_424874	MT325592.1	NE Public Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al A
Denmark/ALAB-SSI258/2020	EPI_ISL_429420		Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
Australia/SA0301/2020	EPI_ISL_467986		SA Pathology	SA Pathology	Lex Leong et al
Austria/CeMM0002/2020	EPI_ISL_419655		Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
Iceland/791/2020	EPI_ISL_1586510	OU183255.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A
Iceland/1127/2020	EPI_ISL_1586734	OU180996.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A
Greece/149/2020	EPI_ISL_434471		Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens	Laboratory of Biology, Department of Medicine, Democritus University of Thrace	Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
Ireland/D-NVRL-AIIDV0328v1/2020	EPI_ISL_644284		CEPHR / Vincent's Hospital	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory	Michael Carr et al
Germany/BY-MVP-0081/2020	EPI_ISL_437275		Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München	Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich	Max Muenchhoff et al
HongKong/HKPU-0481/2020	EPI_ISL_610168		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Siu et al
HongKong/HKU-200723-051/2020	EPI_ISL_497818		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKPU-00477/2020	EPI_ISL_1289441		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
NewZealand/20VR2000/2020	EPI_ISL_456327	MZ332128.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR0759/2020	EPI_ISL_456164		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1499/2020	EPI_ISL_456221	MZ331947.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1020/2020	EPI_ISL_456185	MZ331908.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1022/2020	EPI_ISL_456186	MZ331909.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Anhui/2/2020	EPI_ISL_412026		Second Hospital of Anhui Medical University	Second Hospital of Anhui Medical University	Changtai Wang et al
Australia/NT43/2020	EPI_ISL_480691		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
Kazakhstan/122252/2020	EPI_ISL_1341149		Laboratory of Virology, National center of expertise	RSE "National Center of Expertise" and RSE "National center for Biotechnology"	Abdaliyev Askar et al
Kazakhstan/123631/2020	EPI_ISL_1341150		Laboratory of Virology, National center of expertise	RSE "National Center of Expertise" and RSE "National center for Biotechnology"	Abdaliyev Askar et al
Malaysia/IMR_WC1170/2020	EPI_ISL_430440		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah.J et al
Singapore/109/2020	EPI_ISL_443201		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
NewZealand/20VR0761/2020	EPI_ISL_456166		Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Indonesia/JK-EIJK-40/2020	EPI_ISL_568691		RSUP Fatmawati	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Indonesia/SA-EIJK-06/2020	EPI_ISL_467375		RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Indonesia/YO-UGM-200927/2020	EPI_ISL_516806		Rumah Sakit PKU Gamping	Genetics Working Group (Pokja Genetik) Faculty of Medicine, Public Health and Nursing Universitas Gadjah Mada (FK-KMK UGM); Disease Investigation Center Wates Ministry of Agriculture Indonesia; Department of Microbiology FK-KMK UGM; Laboratorium Diagnostik Yayasan Tahija World Mosquito Program (WMP) Yogyakarta Center for Tropical Medicine FK-KMK UGM; Integrated Research center FK-KMK UGM; Department of Computer Science and Electronics FMIPA UGM	Gunadi et al
Indonesia/JI-ITD-3101NT/2020	EPI_ISL_458083		Adi Husada Undaan Hospital	Institute of Tropical Disease, Universitas Airlangga	Rima R Prasetya et al
USA/OK-QDX-93/2020	EPI_ISL_468589	MT627436.1	Quest Diagnostics	Quest Diagnostics	Anderson et al
UnitedArabEmirates/L1014/2020	EPI_ISL_435127		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)
USA/WI-UW-186/2020	EPI_ISL_428282	MT706314.1	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al A (https://www.medrxiv.org/content/10.1101/2020.07.09.20149104v1)
USA/WV-QDX-1284/2020	EPI_ISL_572053	MW065351.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
Australia/WA21/2020	EPI_ISL_470839		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Indonesia/JT-EIJK-10/2020	EPI_ISL_568686		RSUD Prof. DR. Margono Soekarjo	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
HongKong/HKU-200723-053/2020	EPI_ISL_497820		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
Malaysia/8454/2020	EPI_ISL_501223		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
Kazakhstan/KZ_Almaty/2020	EPI_ISL_2604957	MZ379258.1	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Burashev et al
Singapore/1172/2020	EPI_ISL_648100		Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
NewZealand/20VR2932/2020	EPI_ISL_456393	MZ332342.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Egypt/CCHE57357-P-37/2020	EPI_ISL_812867	MW467502.1	Genomics Program, Children Cancer Hospital	Genomics Program, Children Cancer Hospital	Hatem et al
Argentina/PAIS-A0394/2020	EPI_ISL_1396198		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Alexay et al
Indonesia/PP-EIJK-11/2020	EPI_ISL_568693		RS Freeport Tembagapura	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Malaysia/UNIMAS-11942/2020	EPI_ISL_718146		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Finland/THL-202103819/2021	EPI_ISL_2591141		TYKS, Kliininen mikrobiologia	Expert Microbiology, National Institute for Health and Welfare	Soile Blomqvist et al
Senegal/SN-MBO-201654/2020	EPI_ISL_1167135		Iressef Genomics lab	L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)	Souleymane MBOUP et al
